ID,smiles,docking_score,flag,split
44371400,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cc(F)cc(F)c2)cc1,-10.42,1,train
11099739,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(N)c2)o1,-9.646,1,train
44456885,CS(=O)(=O)c1ccc(-c2nc(SCc3cccs3)cc(C(F)(F)F)n2)cc1,-10.96,1,train
9839884,CCc1cc(/C=C/S(N)(=O)=O)cc(C(=O)c2ccccc2)c1,-9.582,1,train
44343870,CCOc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,-9.219,1,train
73055092,CCCCCCOC(=O)Nc1cccc(-c2ccc(C(C)C(=O)O)cc2F)c1,-8.997,1,train
155545715,COc1ccccc1C=CC1=NNC(=O)CC1,-6.86,1,train
127033589,CCCCCCNC(=O)Oc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1,-6.797,1,train
25072270,CC(C(=O)OCCO[N+](=O)[O-])c1cccc(C(=O)c2ccccc2)c1,-7.35,1,train
10616776,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,-11.844,1,train
4553,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,-7.505,1,train
44456510,COc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,-10.333,1,train
21472741,C[C@]1(O)OC(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,-10.658,1,train
71583441,CCSc1nc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1,-10.891,1,train
9801204,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1,-11.569,1,train
10224978,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)c(Cl)c2)cc1,-11.683,1,train
44370787,CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1,-10.422,1,train
11090142,COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1C,-10.7,1,train
44271312,Cc1nc(-c2ccc(Cl)cc2)c(-c2ccc(S(N)(=O)=O)cc2)s1,-10.871,1,train
10385170,Cc1ccccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,-11.398,1,train
44394245,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1Cl,-11.553,1,train
44327826,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2cc(F)c(F)cc2CS3)cc1,-11.683,1,train
10426884,CS(=O)(=O)c1ccc(-c2cscc2-c2ccc(F)cc2)cc1,-10.383,1,train
44456593,CS(=O)(=O)c1ccc(-c2nc(NC[C@H]3CC=CCC3)cc(C(F)(F)F)n2)cc1,-10.953,1,train
155544780,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1/N=C\c1ccc(Br)cc1,-9.049,1,train
9927594,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,-9.857,1,train
208910,CC1(C)OC(=O)C(OCC2CC2)=C1c1ccc(S(C)(=O)=O)cc1,-9.081,1,train
44394265,CS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,-11.595,1,train
92656,O=C(O)CCCCCCCN1C(=O)C=CC1=O,-4.954,1,train
10134426,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,-11.677,1,train
4763851,O=C(O)c1cccc(Nc2ccc([N+](=O)[O-])cc2)c1,-7.411,1,train
9851770,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,-11.377,1,train
44456663,CS(=O)(=O)c1ccc(-c2nc(NCc3nccs3)cc(C(F)(F)F)n2)cc1,-10.035,1,train
44581948,COc1ccc(-c2cnnn2-c2ccc(S(C)(=O)=O)cc2)cc1,-9.816,1,train
10223326,C[C@@H]1CN(c2c(C#N)c(C(F)F)nn2-c2ccc(S(C)(=O)=O)cn2)C[C@H](C)O1,-10.658,1,train
9946917,CC1(C)OC(=O)C(Oc2ccccn2)=C1c1ccc(S(C)(=O)=O)cc1,-6.579,1,train
3826,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,-6.282,1,train
10761664,CS(=O)(=O)c1ccc(-c2cc3c(cc2-c2ccc(F)cc2)OCO3)cc1,-11.389,1,train
10158806,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,-11.955,1,train
9929697,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-11.271,1,train
10272113,COc1ccccc1-c1cc(C(F)(F)F)nn1-c1ccc(S(N)(=O)=O)cc1,-11.358,1,train
129439,CC(NC(=O)CN)C(=O)NC(C(=O)O)C(C)C,-5.794,1,train
10268710,CS(=O)(=O)c1ccc(-c2cn3c(c2-c2ccccc2)CCC3)cc1,-11.024,1,train
44475686,O=S(=O)(Nc1ccncc1NC1CCCCC1)C(F)(F)F,-6.776,1,train
10179720,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,-11.003,1,train
10713528,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cn1,-10.63,1,train
137644807,NS(=O)(=O)c1ccc(OC(=O)c2c(-c3ccccc3)sc3c2CCCC3)cc1,-10.264,1,train
44474277,O=S(=O)(Nc1ccncc1Nc1cccc(Br)c1)C(F)(F)F,-6.464,1,train
10737761,CS(=O)(=O)c1ccc(C2=C(c3cc4ccccc4s3)C(=O)CC2)cc1,-8.388,1,train
11079400,CSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,-10.509,1,train
22810,CC(C(=O)O)c1ccc(-c2ccccc2)cc1,-7.613,1,train
164614893,CCc1cnc(OCC(C)(C)O)c(-c2ccc(S(C)(=O)=O)cc2)c1,-9.35,1,train
172453038,Nc1c(C(=O)N/N=C/c2ccc([N+](=O)[O-])cc2)cnn1-c1ccc(S(N)(=O)=O)cc1,-8.894,1,train
10623316,CSc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,-11.859,1,train
X114,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)n1,-11.147,1,train
44326894,Cc1cncc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c1,-10.698,1,train
44456619,CS(=O)(=O)c1ccc(-c2nc(NC3CCCC3)cc(C(F)(F)F)n2)cc1,-10.207,1,train
45268649,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(Nc3ccccc3)n2)cc1,-10.642,1,train
45272015,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCC3)n2)cc1,-10.455,1,train
115239,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,-11.002,1,train
44474281,Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1,-7.019,1,train
22285771,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(F)cc2)cc1,-11.203,1,train
X216,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc([N+](=O)[O-])cc2)cc1,-11.147,1,train
44475845,CS(=O)(=O)Nc1ccncc1Nc1cccc(Cl)c1,-7.581,1,train
11759943,Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,-9.952,1,train
