ID,smiles,docking_score,flag,weight_actives,weight_lowscores,split_random_1,split_random_2,split_random_3,split_random_4,split_random_5,split_scaffold_1,split_scaffold_2,split_scaffold_3,split_scaffold_4,split_scaffold_5
ZINC07144931,N#Cc1ccc(CSCc2cc(=O)n3ccsc3n2)cc1,-8.687,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,val,train,train,train,val
ZINC67190134,CC(C)CCC(=O)NNC(=O)c1ccc2c(=O)[nH]c(=S)[nH]c2c1,-7.049,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,val,train
ZINC54487522,N#Cc1c[nH]n2c(=O)cc(CSc3c(F)cc(F)cc3F)nc12,-8.318,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,val,train
ZINC03233536,Clc1cc(Cl)c(/N=C/c2ccncc2)cc1Cl,-7.649,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,val,train,train,train
ZINC66253661,Cc1nc(NS(=O)(=O)c2ccc3c(c2)CCCC3)sc1SCC#N,-8.079,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,val,train
ZINC63868056,O=S(=O)(Cc1cccc2ccccc12)c1nccn1C1CC1,-8.512,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,train,train,train
ZINC67516989,Cc1ccc(C(=O)N2CCC[C@H]3C[C@@H](C)CC[C@H]32)o1,-8.111,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC04543093,O=C(c1ccccc1)C1[C@H]2C=C[C@H](C2)[C@H]1c1ccccc1,-7.954,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC35437962,Cc1ccccc1[C@H](CC(=O)N1C[C@@H](C)O[C@H](C)C1)c1cnc2c(C)cccn12,-6.684,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
10759467,Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,-10.942,1,7.910625620655412,10.070796460176991,train,train,train,train,train,train,train,train,val,train
ZINC39583902,O=C(c1ccc(Cn2cc(C(F)(F)F)cc(Cl)c2=O)cc1)N1CCCC1,-8.436,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
ZINC11317838,CNC(=O)NC(=O)CSc1nnc(CSc2nc3ccccc3s2)n1Cc1ccccc1,-9.857,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
ZINC59302479,COc1ccc(/N=C/c2cc(Br)c(N3CCCC3)o2)cn1,-6.77,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC43191215,N#C[C@@H]1CC(C(=O)c2ccc(Br)cc2)N2N=Cc3ccccc3[C@@H]12,-8.348,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,val,train,train,train
ZINC31833877,COc1ccccc1/C=N\Nc1cn[nH]c(=O)c1Br,-7.945,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC15008283,Cc1cccc(CNc2ncnc3sc(C(=O)N4C[C@H]5CC[C@@H]4C5)c(C)c23)n1,-7.708,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,val,train,train
ZINC20556883,C[C@H]1C[C@H](C)CN(S(=O)(=O)c2ccc(C(=O)O)cc2Br)C1,-7.476,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC11566087,CC(=O)N1CCN(S(=O)(=O)c2cc(Cl)c(Cl)cc2Cl)CC1,-6.691,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,train
ZINC40508837,Cc1cc(C)c(C#N)c(Nc2ccc(F)c(F)c2F)n1,-8.308,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC53668692,Cc1nn(C)c(C)c1S(=O)(=O)N1CCC[C@H]1c1cccc(Br)c1,-8.084,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC42255340,O=C(O)c1c2c(nc3c(Br)cc(F)cc13)CCS(=O)(=O)C2,-7.455,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,val
ZINC13685159,CS(=O)(=O)Nc1nc2ccc(C(=O)NC3Cc4ccccc4C3)cc2s1,-6.651,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,val,train,train
ZINC08342248,O=C(COC(=O)c1ccc2ccccc2c1)c1cc2c3c(c1)cc(O)n3CCC2,-8.201,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,val,train,train
ZINC32213134,CC(C)c1ccc([C@@](C)(O)CN2CCCc3ccccc32)cc1,-8.445,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,train,train,train,val
ZINC35865398,CCCC(=O)N1CCN(c2nc(C(C)CC)nc3sc4c(c23)CC[C@@H](C)C4)CC1,-9.023,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,val,train,train
ZINC12918730,Cc1nc(/C=C/C(=O)N2CCC[C@H]3CCCC[C@@H]32)cs1,-7.371,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC55007088,Cc1nc(-c2ncccn2)sc1C(=O)N1CCC[C@H]2CCCC[C@@H]21,-5.532,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,train,train,train,train
ZINC67090558,CC(C)n1ncc2cc(C(=O)Nc3ccc(F)c(C(F)(F)F)c3)cnc21,-6.759,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,val
ZINC45071629,Cc1ccc([C@@H](C)CCCC2=CCC3(CC2)OCCO3)cc1,-8.518,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
10200639,CC1(C)OC(=O)C(Oc2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,-7.631,1,7.910625620655412,0.5261211280628756,train,train,train,train,val,train,train,train,val,train
CHEMBL552081,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCC3)n2)cc1,-9.886,1,7.910625620655412,0.5261211280628756,train,val,train,train,train,train,train,train,val,train
ZINC41027403,C[C@@H]1CCc2c(c(C(=O)O)nn2-c2cc(Br)ccc2F)C1,-8.88,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,train,val
ZINC32640926,Cc1ccc(N2C(SCc3ccc(Br)cc3F)=N[C@H]3CS(=O)(=O)C[C@@H]32)cc1,-7.615,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC05299671,O=C(C1=COCCO1)N(Cc1ccccc1)c1nc2ccccc2s1,-8.585,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
ZINC34868582,COc1cc(CNC(=O)N[C@@H]2C[C@H]3C[C@@H]2[C@H]2CCC[C@H]32)ccn1,-7.865,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,train
ZINC06699018,C#CC(CC)(CC)NC(=O)C1CC(C)=C(C)CC1C(=O)O,-6.387,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC60361988,C[C@@H]1CC1C(=O)Nc1cccc(C(=O)Nc2nc3c(s2)C(=O)CCC3)c1,-5.699,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
ZINC50325309,O=C(C1=CCCCCC1)c1ccccc1Br,-8.33,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,val,train,train,train
ZINC66707024,O=C(C1CC(=O)N(C2CCCC2)C1)N1CCO[C@@H](c2ccc(F)c(F)c2)C1,-7.608,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,train
ZINC03846309,CC1(C)C2CC[C@@]1(C)C(=O)C(Br)(Br)C2=O,-5.616,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,train,train
11090142,COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1C,-10.7,1,7.910625620655412,10.070796460176991,train,train,val,train,train,train,train,train,val,train
ZINC05374612,O=C(O)C1(OC2CCCCC2)CCCCC1,-7.157,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,train
ZINC55070314,CC[C@H](C)N1CCN(C(=O)C(C)Cl)CC1,-7.209,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,train
ZINC37146439,CCCN1CCN([C@@H]2CCC[C@@H]2C#N)CC1,-6.665,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,train,train
ZINC37760922,CCc1nn([C@@]2(C)CCS(=O)(=O)C2)c(Cl)c1C(=O)O,-7.4,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC55341345,Cc1cnn([C@H](C)C2CC2)c1NC(=O)c1cc2sccc2[nH]1,-7.859,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC19568341,COc1cccc(CN2Cc3cc4cc(C)cc(C)c4nc3OC2=O)c1,-5.449,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC37057258,Cc1cc(I)ccc1N[C@@H](C)CCC(C)C,-7.065,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,val
ZINC13963011,Cc1ccc(CC(=O)N(Cc2ccco2)c2nc3ccc(Br)cc3s2)cc1C,-9.668,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,val,train,train
ZINC33005448,Cc1cc2nc(C)c(=O)n(CCC(=O)N3CCC(C(N)=O)CC3)c2cc1C,-4.108,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,train,train,train,train
ZINC38919473,O=C1C[C@H](c2nc(-c3ccc(F)c(Br)c3)no2)CN1c1cccc(Cl)c1,-5.232,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,val,train,train,train
ZINC62869700,CC[C@@]1(C(=O)O)CCCN(C(=O)C[C@H]2C=CCC2)C1,-8.499,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,val,train,train,train,train
ZINC02393755,CCn1c(SCC(=O)c2ccc(Cl)c(Cl)c2)nc2sc(C)c(C)c2c1=O,-7.236,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,val,train,train
ZINC12144785,O=C(c1ccc2nsnc2c1)N1CCC[C@H]1c1nc2ccccc2[nH]1,-8.982,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,train,train,train
ZINC04722448,ON=C1CCC[C@H]2CCCC[C@@H]12,-7.225,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,train
ZINC05376659,CCN(CC)c1ccc(N=C2NC(=O)/C(=C\c3cn(C)c4ccccc34)S2)cc1,-6.709,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC41696848,O=C1CCN(C(=O)c2ccccc2OCCBr)CC1,-7.759,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
ZINC08347378,C[C@@H](c1nc2ccccc2s1)N(C)C(=O)c1cc2ccccc2[nH]1,-8.076,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,val,train,train
ZINC39957463,Ic1cnc2[nH]ccc2c1,-6.959,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,val,train,train,train
ZINC05154353,CCOc1ccc(Cc2n[nH]c(Nc3ccccc3Cl)nc2=O)cc1,-4.765,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,val,train
ZINC61589739,O=C(O)[C@]1(Sc2ccccc2Br)CCCSC1,-7.22,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,train
ZINC37378564,C[C@@H](Oc1ccc2ncccc2c1N)c1ccccc1,-8.693,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC62782665,C=CC[C@@H](O)C1(c2ccccc2)CCCCC1,-5.98,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC22021458,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Br)cc1C,-6.844,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,val,train
ZINC41487364,Nc1ccc(NCCOc2cc(Cl)ccc2Cl)cc1,-7.591,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC66329188,C#Cc1cccc(NC(=O)CN(C)C(=O)c2csc(-c3ccccc3C)n2)c1,-6.816,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,val
ZINC66783394,Cc1ccsc1C(=O)NNC(=O)C1CC=CC[C@@H]1c1nc2ccccc2s1,-8.026,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
ZINC13258635,Cc1ccc(C(=O)O)cc1NC(=O)CSc1ccc2c(c1)CCC2,-8.88,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,train
ZINC08276836,Cc1c(Cl)ccc2c1N[C@H](c1ccccc1Cl)[C@@H]1CC=C[C@H]21,-8.369,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC48820665,O=C(/C=C\c1ccc(Br)cc1)N1C[C@H]2CC[C@@H]1C2,-8.424,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,train
ZINC49593298,O=C(O)C=Cc1cnc(NS(=O)(=O)c2ccccc2)s1,-6.947,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,val,train
ZINC01513816,CC1(C)c2ccccc2-c2ccccc2[C@]1(O)Cc1ccccc1,-9.154,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,val,train,train,train
ZINC03885267,O=C(CCl)N1N=C2/C(=C/c3ccco3)CCC[C@H]2[C@@H]1c1ccco1,-8.41,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC36842623,Cc1ccc(N[C@H]2C[C@@H](c3ccccc3Br)C2)cc1F,-8.007,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,val,train,train,train
ZINC37576646,C[C@@H]1CCCCN1S(=O)(=O)c1ccc(C#CCO)cc1Cl,-6.638,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,train,train
ZINC00973106,Cc1ccccc1C(C=O)C(c1ccccc1)C1C(=O)c2ccccc2C1=O,-9.748,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,val,train,train,train
ZINC62220962,Cc1cc(N2CCN(S(=O)(=O)NC(C)C)CC2)ccc1Br,-6.345,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,train,train,train
ZINC66499678,CC(C)C1C(=O)NCCN1Cc1sccc1Br,-7.32,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,val
ZINC39358891,O=C1CCCC2=N[C@@H]3N=NC(=O)C3[C@H](c3ccc(Br)s3)C12,-8.199,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC28967691,CC1(C)CC(=O)C(C=Nc2ccc(F)c([N+](=O)[O-])c2)C(=O)C1,-7.881,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,train
ZINC44320348,O=C(NC(Cc1ccc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21,-7.936,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,val,train,train,train
ZINC66846355,Fc1ccccc1[C@@H]1CN(Cc2cccc3cccnc23)CCO1,-9.117,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC05225349,C/C=C\[C@@H](O)C1CCCCC1,-6.796,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,train
ZINC61178892,CCN(C(=O)c1sc2ccccc2c1Cl)[C@H](C)CC(=O)O,-7.079,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,train,train,val
ZINC36857092,CCCn1cc(Br)cc1C(=O)N1CCCCC1C(=O)O,-6.77,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC34755247,Cc1cc([C@@H]2CC(C(=O)N(C)Cc3ccco3)CN(C(=O)C3CCCC3)C2)ccc1F,-7.25,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,train,train,train
ZINC08730222,CCc1ccc(C(=O)n2c(=S)[nH]c3sc4c(c3c2=O)CCCC4)cc1,-6.626,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
ZINC01323011,C1CCC2(CC1)O[C@H]1CCCCC1=C1CCCC[C@@H]12,-8.792,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC05469847,CCC[C@H]1CCc2c(sc(NC(=O)/C=C/C(=O)O)c2C(N)=O)C1,-7.098,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
ZINC38892372,COc1ccc([C@@H]2c3sc(=S)[nH]c3SC[C@H]2C#N)cc1,-7.482,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,val,train,train,train
ZINC04910711,CCCc1nc(=S)c2c3c(sc2[nH]1)C[C@@H](C)CC3,-8.995,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,val,train,train
ZINC13833827,CN1Cc2sc3ccccc3c2CC1C(=O)NC1CCCCC1,-7.799,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,train
ZINC57569143,Cc1c(C(=O)O)cc(O)n1-c1ccc(C(C)(C)C)cc1,-7.626,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC36365019,Cc1nc(-n2cccc2)sc1C(=O)N1CCCC(C(=O)O)C1,-8.59,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,val,train,train
ZINC09235917,O=c1[nH]c(-c2cc(Br)cc(Cl)c2O)nc2sc3c(c12)CCCC3,-8.287,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,val,train,train
ZINC11066927,Cc1ccc2nc(N(C[C@H]3CCCO3)C(=O)CCSc3ccc(F)cc3)sc2c1,-8.074,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,val,train,train
ZINC65452406,Cn1nc(C(C)(C)C)c2c1NC(=O)C[C@H]2c1cnc2ccccc2n1,-7.647,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC20421615,COC(=O)c1c(C)nc2c(c1=c1ccc(=C(O)O)cc1)=C(O)CCC2,-9.124,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,val
ZINC24926406,O=C(Nc1ncccc1O)C1CC(=O)N(c2ccc(Br)cc2)C1,-8.102,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,train
ZINC06775610,O=C(c1cccc(F)c1)N1CCn2cccc2[C@H]1c1cccs1,-6.77,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,val,train,train,train,train
ZINC48449739,O=C(NS(=O)(=O)c1cccs1)C1CCCC[C@@H]1C(F)(F)F,-7.022,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,val,train
ZINC41960652,CCCO[C@@]1(C(=O)O)CCc2ccccc2C1,-7.106,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC01764837,C=CCSc1ncnc2c1sc1nc(C)c3c(c12)CC(C)(C)OC3,-7.856,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
ZINC56829081,O=C(NCc1ccccc1OC(F)F)N1CCN(C(=O)c2ccsc2)CC1,-4.807,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,train,val,train,train
11418074,COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1F,-9.723,1,7.910625620655412,0.5261211280628756,train,train,train,train,val,train,train,train,val,train
ZINC29907684,Cc1ccc(C(=O)Nc2ccc(F)c(-c3nnc4n3CCCCC4)c2)s1,-6.868,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,val
ZINC64523958,Cc1ccc(C(=O)N2CSCC2C(=O)N2CCSCC2)s1,-8.629,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC63022783,CCSc1cc(N)cc2c1ccn2Cc1sccc1Br,-9.11,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,val
ZINC55084866,CC[C@H](C)N1CCN(S(=O)(=O)c2ccc(F)cc2Br)CC1,-7.237,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,val,train,train,train,train
ZINC66844806,Fc1ccc([C@H]2CN(CCn3cccn3)CCO2)cc1Cl,-8.266,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,train,train,train
ZINC16159359,C[C@H](I)C[C@](F)(OC(F)(F)F)C(F)(F)F,-6.335,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC04123722,COc1cccc([C@@H]2Nc3c(ccc(C(=O)O)c3C)C3C=CC[C@@H]32)c1,-8.02,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC05055542,CNC(=O)c1c(NC(=O)/C=C/c2ccccc2)sc2c1CC[C@@H](C)C2,-7.685,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
ZINC67183719,O=C(C[C@@H]1C=CS(=O)(=O)C1)Nc1ccc(Br)cn1,-6.714,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,val,train,train,train
ZINC40820409,Cc1cccc2[nH]cc([C@@H]3CCCN3C(=O)c3ccccn3)c12,-9.011,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,train
ZINC57744728,CC(C)(C)c1ccc(C[C@H](C#N)c2ccccc2F)cc1,-8.351,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC13256080,COc1ccc2[nH]c(SCc3cc(=O)[nH]c4sc(C(=O)O)c(C)c34)nc2c1,-4.765,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
