ID,smiles,docking_score,flag,split_1,split_2,split_3,split_4,split_5
15871000,Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1,-10.098,1,train,train,train,train,train
X017_B,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,-10.877,1,train,train,val,train,train
45269513,NS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NC3CCCCC3)n2)cc1,-10.696,1,train,train,train,train,train
ZINC21040220,Cc1ccc(N[C@@H]2CCCC[C@@H]2C(C)(C)C)c(C)c1,-7.986,0,train,train,val,train,train
155523202,CC(C(=O)Nc1c(C#N)cnn1-c1ccc(S(N)(=O)=O)cc1)N1CCOCC1,-9.814,1,train,train,train,train,train
10544389,Cc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)cc1,-10.562,1,train,train,train,train,train
10738786,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,-9.315,1,train,train,train,train,train
ZINC67646238,Cc1nccn1-c1ccc(CNC(=O)N[C@H]2CCC[C@H](C(F)(F)F)C2)cc1F,-6.681,0,train,val,train,train,train
ZINC42008263,C[C@H]1CC(C)(C)C[C@@](Sc2ccncc2N)(C(=O)O)C1,-7.295,0,train,train,train,train,train
ZINC37101355,Cc1ccc(N[C@@H]2C[C@H](C)CC(C)(C)C2)c2cccnc12,-6.234,0,train,train,val,train,train
ZINC49270422,CCc1nnc(NC(=O)C(=O)N[C@@H]2CCC[C@@H](C)C2)s1,-7.761,0,train,train,train,val,train
X122,Cn1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c2ccccc21,-11.455,1,train,train,train,train,train
17919604,CS(=O)(=O)c1ccc(-c2cnn(CC3CC3)c(=O)c2-c2ccccc2)cc1,-11.054,1,train,train,val,train,train
ZINC37152608,C[C@@H]1CCC[C@H](O[C@@H]2C[C@H](C(C)(C)C)CC[C@@H]2C#N)C1,-7.062,0,train,train,train,train,train
9967467,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccccc1Cl,-9.796,1,train,train,train,val,train
10223326,C[C@@H]1CN(c2c(C#N)c(C(F)F)nn2-c2ccc(S(C)(=O)=O)cn2)C[C@H](C)O1,-10.658,1,train,train,val,train,train
ZINC39523235,ON1[C@@H](Cl)CCC[C@]12CCC[C@@H](F)C2,-7.296,0,train,val,train,train,train
ZINC37696516,Cc1cc(C)c(C)c(O[C@@H]2CCC[C@@H]2O)c1,-7.52,0,train,train,val,train,train
ZINC36920480,C[C@@H]1CCC[C@H](Nc2cccc(Cl)c2-n2ccnc2)C1,-8.106,0,train,val,train,train,train
15485782,NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccc3c(c2)OCO3)cc1,-11.382,1,train,val,train,train,train
10403254,Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,-10.281,1,train,train,val,train,train
ZINC54968636,Cc1nc(N(C)[C@H]2CCCC[C@@H]2C)sc1C(=O)O,-8.039,0,train,val,train,train,train
ZINC37149248,N#C[C@@H]1CCCC[C@H]1Oc1ccc2cc(Br)ccc2c1,-6.757,0,train,train,train,train,val
X042,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(N)c2)cc1,-10.897,1,train,train,val,train,train
CHEMBL254465,COc1ccc(NC(=O)Nc2ccc(S(C)(=O)=O)cc2)cc1,-5.831,1,train,train,train,val,train
10981473,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)nc2)cc1,-10.561,1,train,train,train,val,train
ZINC37150574,N#C[C@H]1CCCC[C@@H]1Oc1cc(Cl)c(Cl)cc1Cl,-7.441,0,train,train,train,train,val
10521660,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)CC2)cc1,-11.15,1,train,train,val,train,train
ZINC54185713,O[C@@H]1CCCC[C@H]1Sc1cccc(Cl)c1,-8.004,0,train,train,train,val,train
ZINC16283643,Cc1cc(SC2C(=O)C3CC[C@@]2(C)C3(C)C)[nH]c(=S)n1,-4.57,0,train,train,val,train,train
164624213,CC(C)(O)COc1nc(OCCC(F)(F)F)c(CO)cc1-c1ccc(S(C)(=O)=O)cc1,-8.239,1,train,train,train,train,val
ZINC37148868,CCC[C@@H]1CC[C@@H](C#N)[C@H](Oc2cccc(Cl)c2)C1,-7.641,0,train,train,val,train,train
10572129,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(F)c2)cc1,-11.282,1,train,train,val,train,train
ZINC21047207,CCC[C@H]1CC[C@@H](Nc2cc(C)c(Cl)cc2OC)CC1,-7.639,0,train,train,train,train,val
ZINC35418537,COc1ccccc1[C@H]1c2cccn2CCN1C(=O)C1CCC1,-8.989,0,train,train,train,train,train
155514890,NS(=O)(=O)c1ccc(-n2nc(C(=O)N3CCSCC3)cc2-c2cccc(Cl)c2)cc1,-10.614,1,train,val,train,train,train
ZINC35593569,COC(=O)N(CC(=O)N1CCn2cccc2[C@@H]1c1ccoc1)C(C)C,-7.979,0,train,val,train,train,train
ZINC41921128,O=C(O)[C@]1(OC2CCCCC2)CCOc2ccccc21,-7.221,0,train,train,val,train,train
ZINC37156483,CCC[C@H]1CC[C@@H](C#N)[C@H](Sc2ccc3c(c2)CCC3)C1,-8.041,0,train,train,train,train,val
ZINC35116308,CCOC(=O)C1CS[C@@H](c2ccccc2Cl)N1C(=O)C1CCCC1,-9.234,0,train,train,val,train,train
ZINC36954289,CC(C)[C@H]1CC[C@H](C)C[C@H]1Nc1cc(Cl)ccc1C#N,-7.645,0,train,val,train,train,train
10832104,CS(=O)(=O)c1ccc(C2=C(C=Cc3ccc(F)cc3)C(=O)CC2)cc1,-10.047,1,train,train,val,train,train
44456542,CC(C)(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,-10.912,1,train,val,train,train,train
ZINC62940823,N#C[C@@H]1CCC[C@H]1N1CCCN2CCC[C@@H]2C1,-7.87,0,train,train,train,val,train
44327884,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2cc(F)ccc2CS3)cc1,-8.712,1,train,train,train,train,train
ZINC21515975,CC(C)(C)[C@H]1CCCC[C@H]1Nc1ccc(OC(F)F)cc1,-6.36,0,train,train,val,train,train
ZINC21814230,C[C@H]1C[C@@H](Nc2ccc3c(c2)OC(F)(F)O3)CC(C)(C)C1,-7.262,0,train,train,train,train,train
X010_B,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,-11.651,1,train,train,train,train,val
44316046,CS(=O)(=O)c1ccc(-c2oc3ccccc3c2-c2ccc(F)cc2)cc1,-11.189,1,train,val,train,train,train
44327825,COc1cc2c(cc1F)-c1c(c(C(F)F)nn1-c1ccc(S(N)(=O)=O)cc1)SC2,-11.703,1,train,train,train,val,train
ZINC42603184,C[C@H]1CCCC[C@@H]1N(C)c1ccc(N)c2ncccc12,-7.883,0,train,train,train,train,train
ZINC41987650,CC(C)S[C@]1(C(=O)O)CCC[C@H](C)C1,-6.543,0,train,train,train,val,train
44456800,NS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(C(F)(F)F)n2)cc1,-10.988,1,train,train,val,train,train
ZINC49243344,C[C@H]1CCC[C@@H](NC(=O)N(C)Cc2cscn2)C1,-7.124,0,train,val,train,train,train
ZINC43763088,C=C1[C@H]2C[C@@H]3[C@H](C(C)C)CC[C@@]3(C)C[C@H]2[C@@]1(C)CO,-6.558,0,train,train,train,val,train
ZINC35341015,C[C@H]1CCC[C@H](Oc2ccc(N)c3ncccc23)C1,-8.732,0,train,train,train,train,train
3058754,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,-11.131,1,train,train,train,train,val
ZINC66930473,CC(C(=O)NC[C@]1(O)CCCc2ccccc21)n1c(=O)oc2ccccc21,-7.818,0,train,train,train,train,val
101897868,CCOC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2cccc(F)c2)c1C,-11.086,1,train,train,train,train,train
ZINC41346328,CC1(C)CO[C@@H](c2cccc(Cl)c2)CN1C(=O)C1CC1,-7.375,0,train,train,train,train,train
10501190,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc(Cl)cc2)cc1,-10.384,1,train,train,val,train,train
ZINC52147212,Br[C@H]1CCCC[C@@H]1OCC1CCCCC1,-7.07,0,train,val,train,train,train
10523190,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCC3)C2)cc1,-11.813,1,train,train,train,val,train
ZINC37149940,CCC[C@@H]1CC[C@@H](C#N)[C@H](OCc2ccccc2Cl)C1,-8.09,0,train,train,train,train,train
ZINC41881715,CC[C@@H]1COCCN1[C@]1(C(=O)O)CCc2ccccc21,-7.589,0,train,val,train,train,train
90654521,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)C(=O)N(C)C2=O)cc1,-10.672,1,train,train,train,train,val
ZINC40148116,C[C@@H]1CCC2=c3c(n/c(=C/C#N)[nH]c3=O)S[C@@H]2C1,-8.934,0,train,train,val,train,train
10893410,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,-10.731,1,train,train,val,train,train
122184818,Cc1ccc(-c2c(Cl)c(CCl)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-11.487,1,train,train,train,val,train
ZINC17023290,CC1=C(C)CC(C(=O)NCC2CCCCC2)C(C(=O)O)C1,-7.538,0,train,train,train,train,val
ZINC62766916,CCC[C@@H]1CCC(C(=O)O)[C@H](Sc2nc(=O)cc(N)[nH]2)C1,-7.185,0,train,train,train,train,train
9822883,Cc1cccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)c1,-12.577,1,train,train,val,train,train
ZINC37151653,CC[C@H]1CC[C@@H](C#N)[C@H](Oc2ccc(C)cc2Br)C1,-7.449,0,train,train,val,train,train
9927594,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,-9.857,1,train,train,val,train,train
44456822,CCS(=O)(=O)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,-10.797,1,train,train,val,train,train
ZINC37342494,CC[C@H]1CCCC[C@@H]1OCC(=O)c1c(C)cc(C)cc1C,-7.302,0,train,val,train,train,train
ZINC41958868,O=C(O)[C@]1(Oc2c(Br)cc(Br)c3cccnc23)CCSC1,-7.47,0,train,val,train,train,train
ZINC50502585,Br[C@H]1CCCCC[C@H]1OC1CCOCC1,-7.324,0,train,train,val,train,train
ZINC48032821,Cc1nnc(NC(=O)C(=O)N(C)[C@H]2CCCC[C@@H]2C)s1,-6.791,0,train,train,train,train,val
10621562,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,-11.913,1,train,train,val,train,train
10020588,C[C@@H]1C(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,-10.747,1,train,train,train,val,train
ZINC41944380,C[C@H]1CCCC[C@@]1(Oc1ccc([N+](=O)[O-])cc1)C(=O)O,-7.168,0,train,train,train,train,val
9803459,CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1,-9.596,1,train,val,train,train,train
9840237,CC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O,-8.352,1,train,val,train,train,train
118706109,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)C[C@H]2c2ccc3c(c2)OCO3)cc1,-10.558,1,train,train,train,val,train
9906472,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,-11.171,1,train,train,train,train,val
155815558,CCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,-7.413,1,train,train,train,train,val
ZINC20414799,O=C(NCc1ccccc1Cl)c1ccc(CNc2c(NC3CCCCC3)c(=O)c2=O)cc1,-8.347,0,train,train,train,train,val
5499082,C=c1[nH]n(-c2ccc(S(N)(=O)=O)cc2)c(=O)c1=Cc1c[nH]c2ccccc12,-7.216,1,train,train,train,val,train
10156700,COc1cc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)ccc1F,-10.942,1,train,train,train,val,train
ZINC39522964,CO[C@H]1CCC[C@]2(CCC[C@H](SC)C2)N1O,-7.622,0,train,val,train,train,train
ZINC05816924,O=CN1C[C@@]23C=C[C@@H](C[C@H]2CC12CCCCCC2)O3,-9.055,0,train,train,val,train,train
25258350,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccn(C(F)F)c(=O)c2)cc1,-11.534,1,train,train,train,val,train
ZINC37326911,CC(C)(C)c1nn([C@H]2CCS(=O)(=O)C2)c(Cl)c1C(=O)O,-6.896,0,train,train,val,train,train
ZINC35894055,O=C(c1ccco1)N1CCN2c3ccccc3CC(C(=O)N3CCCC3)[C@@H]2C1,-8.688,0,train,train,train,val,train
45272015,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCC3)n2)cc1,-10.455,1,train,train,train,train,val
155512734,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)c1ccccc1,-10.848,1,train,train,train,train,val
ZINC19939954,Fc1ccccc1-c1c[nH]nc1[C@H]1CCCN(Cc2cccs2)C1,-8.257,0,train,train,train,train,train
CHEMBL71833,CCSc1cc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)c(=O)o1,-10.354,1,train,train,train,train,train
10758665,CS(=O)(=O)c1ccc(C2=C(Oc3ccccc3)C(=O)CC2)cc1,-9.857,1,train,train,val,train,train
155516693,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)CCN1CCOCC1,-9.075,1,train,train,val,train,train
ZINC06699018,C#CC(CC)(CC)NC(=O)C1CC(C)=C(C)CC1C(=O)O,-6.387,0,train,train,train,train,val
44394229,NS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,-11.718,1,train,train,val,train,train
ZINC30799941,C[C@H]1c2cccn2CCN1C(=O)c1csc(Br)c1,-8.814,0,train,train,train,train,train
ZINC62763155,CC[C@@H]1CCC(C(=O)O)[C@H](OC2CCC2)C1,-6.148,0,train,train,train,val,train
ZINC36538805,CN(C(=O)c1ccccc1Cl)C(C(=O)NC1CCCCC1)c1ccccc1O,-8.423,0,train,val,train,train,train
ZINC52261233,CCC(C(=O)O)[C@@]1(O)CCCc2ccccc21,-7.475,0,train,train,val,train,train
151610,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O,-9.686,1,train,train,train,val,train
21472747,CO[C@@]1(C)OC(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,-9.964,1,train,train,train,train,train
19594572,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2N2CCC[C@@H](CO)C2)cc1,-11.552,1,train,val,train,train,train
ZINC39445149,O=C(CN1C(=O)N[C@]2(CCC[C@H]3SC=C[C@@H]32)C1=O)c1ccc[nH]1,-8.72,0,train,val,train,train,train
11809792,Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1,-10.146,1,train,train,train,val,train
10271231,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1,-11.187,1,train,val,train,train,train
22034354,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,-9.703,1,train,train,val,train,train
ZINC15894424,CC(=O)c1cccc(N2/C(=N/C(=O)C3CCCCC3)S[C@H]3CS(=O)(=O)C[C@H]32)c1,-7.703,0,train,val,train,train,train
ZINC62761357,CCCCOCCO[C@@H]1CCCC1C(=O)O,-3.538,0,train,train,train,val,train
ZINC39964547,[H]Nc1c2c(nc(=O)n1N)S[C@H]1COC(C)(C)C=C21,-8.629,0,train,val,train,train,train
ZINC20472956,CC(C)Oc1ccc(N[C@H]2C[C@H](C)CC[C@@H]2C(C)C)cc1,-6.459,0,train,val,train,train,train
X128,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)s1,-11.131,1,train,train,val,train,train
ZINC36981689,CC[C@H]1CC[C@H](Nc2cc(Cl)cc(Br)c2OC)CC1,-6.262,0,train,val,train,train,train
ZINC39506774,CCO[C@@H]1CC[C@]2(C[C@H](Cl)CN2Br)C1,-6.342,0,train,train,train,train,train
ZINC39540728,O=C1C[N+](c2ccccc2)=CC1S(=O)(=O)Oc1ccccc1,-7.89,0,train,train,train,train,val
ZINC61629154,O=S1(=O)CC[C@@H](n2nc(C(F)F)c(CCl)c2Cl)C1,-7.248,0,train,train,train,train,val
10177578,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CC3(CC3)C2)cc1,-11.544,1,train,train,train,train,train
ZINC00919431,Cc1ccccc1NC(=O)c1cc2n(n1)[C@@H](C(F)(F)F)C[C@H](c1ccco1)N2,-5.564,0,train,train,train,train,val
10663833,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,-10.19,1,train,train,train,val,train
44456591,Cc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)s1,-10.916,1,train,train,train,val,train
ZINC37151746,CC[C@@H]1CC[C@H](C#N)[C@H](Oc2cccc3cccnc23)C1,-7.202,0,train,train,train,train,train
ZINC43661227,C[C@@H]1C[C@@H](C(C)(C)C)CC[C@@H]1O,-7.162,0,train,train,val,train,train
15390771,CC(C)c1cc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(F)cc2)s1,-12.38,1,train,train,train,train,train
44474280,Cc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1,-7.014,1,train,train,val,train,train
ZINC53110245,C[C@H]1CCC[C@@](CO)(Nc2ccc([N+](=O)[O-])cc2Cl)C1,-7.286,0,train,train,train,train,train
ZINC37656526,C[C@@H]1CCC[C@@H](NS(=O)(=O)N2CCC(C(=O)O)CC2)C1,-7.654,0,train,train,train,train,val
44456621,CC(C)CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,-10.141,1,train,val,train,train,train
ZINC20553677,CC(=O)c1ccc(O[C@H]2C[C@H](C)CC[C@@H]2C(C)C)c(F)c1,-8.19,0,train,val,train,train,train
ZINC09309656,CCC(=O)NC1=[N+](c2cc(C(F)(F)F)ccc2Cl)[C@@H]2CS(=O)(=O)C[C@H]2S1,-7.539,0,train,train,train,train,val
