ID,smiles,docking_score,flag,split,Fingerprint,TSNE_1,TSNE_2
10356352,COc1c(O)cc2c3c(cc4ccc(O)cc4c13)NC2=O,-8.894,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103300>,-32.774494,-1.2861989
44440224,CNC(=O)C[N@@]1CCC[C@@H](Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,-9.108,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51033e0>,2.270683,55.39825
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,-9.302,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51034c0>,-31.018557,-0.19728243
5329610,COc1ccc(-c2n[nH]c3c2C(=O)c2c(NC(C)=O)cccc2-3)cc1,-4.516,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba51035a0>,-54.650173,-19.61346
145992970,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc(N4CCNCC4)cc3)ncc1CC2,-10.592,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103680>,29.12218,42.834206
16739867,CN1CCN(CCOc2ccc3cc2C[N@](C)C/C=C\CCOc2cccc(c2)-c2ccnc(n2)N3)CC1,-8.784,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103760>,-22.005463,53.924454
132472236,O=C1CC[C@@H](N2C(=O)c3cccc(OCCCCCOc4ccc(CC(=O)Nc5cc(C6CCC6)[nH]n5)cc4)c3C2=O)C(=O)N1,-10.373,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103840>,-21.073124,-28.512197
135402953,CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3cccc(N)c3C)[nH]c(=O)c12,-9.397,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103920>,-56.714466,-41.5239
162668085,COc1cc(F)ccc1-c1nc(Nc2ccc3c(N4CCN(C)CC4)c(C(C)=O)c(=O)oc3c2)ncc1F,-9.391,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103a00>,27.514503,10.035002
46880365,N[C@@H](CNc1nnc(-c2ccc3n[nH]c(-c4ccccc4)c3c2)s1)Cc1cccc(C(F)(F)F)c1,-8.567,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103ae0>,-20.350813,-57.32683
73353575,N[C@H]1CC[C@H](Nc2nc(NCc3ccc(-c4ccco4)nc3)c3ncn(C4CCCC4)c3n2)CC1,-10.458,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103bc0>,59.261375,-25.171436
171343786,N[C@@H](Cc1ccccc1)C(=O)Nc1cncc(-c2ccc3[nH]nc(NC(=O)c4ccccc4)c3c2)c1,-10.513,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103ca0>,-24.650581,-42.620975
136086914,Nc1nccc(-c2cc(N3CCOCC3)ccc2O)n1,-9.325,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103d80>,-11.3572235,3.82631
136087130,O=c1[nH]c2ccsc2c(N[C@H]2CCCNC2)c1-c1nc2ccccc2[nH]1,-9.465,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103e60>,-6.759151,54.15966
6539005,CN(C)C[C@H](O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,-8.827,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103f40>,16.471392,11.69768
CHEMBL3421981,c1cc2c(-c3ccnc4[nH]ccc34)c[nH]c2cn1,-8.853,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c0b0>,-9.069861,10.067797
118725665,CC(C)C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)O,-9.143,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c190>,-11.019662,-27.223516
145963374,COc1ccc(C(=O)NC2CCN(c3nccc(Nc4ccccc4C)n3)CC2)cc1,-3.859,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c270>,7.7767224,-16.390793
CHEMBL1922212,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O,-9.159,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c350>,38.710888,-35.785408
162669619,O=C([C@H]1CC[C@H](Nc2ncc(C(F)(F)F)c(-c3c[nH]c4ccccc34)n2)CN1)N1CC[C@@H](O)C1,-9.881,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c430>,5.199357,60.92845
5288222,COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(F)c(C#C[C@@H](O)[C@H](N)[C@H](C)O)c21,-10.382,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c510>,-57.255707,14.719072
71717942,CC(C)n1cnc2c(Nc3ccncn3)nc(C(C)(C)CO)nc21,-9.579,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c5f0>,33.729816,-27.043955
122177111,Cc1c(Nc2ncc(Cl)c(-c3cnc4ccccn34)n2)cnn1C1CCNCC1,-9.102,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c6d0>,8.3983755,48.29602
CHEMBL563366,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(N(C)C)c3)nc1-2,-9.787,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c7b0>,37.673744,40.372383
CHEMBL5175160,CNS(=O)(=O)c1ccc(Nc2ncc3c(n2)N([C@H]2CCC[C@@H]2C)C(=O)C32CC2)cc1,-8.528,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c890>,38.75944,14.374065
52945349,CNC(=O)c1cn(C)c2c1CCc1cnc(NC3CCN(C(=O)c4ccccc4)CC3)nc1-2,-8.984,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0c970>,28.85882,51.292953
155520153,CC(C)c1[nH]nc2c(NCc3ccc(-c4ccccn4)cc3)nc(SCCNC(=N)N)nc12,-9.942,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ca50>,26.58594,-58.734364
45483387,CC(C)n1cnc2c(NCCc3ccc(-c4ccccc4)cc3)nc(N[C@H]3CC[C@H](N)CC3)nc21,-9.326,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0cb30>,51.052692,-29.113802
156024485,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n2cc(C(C)C)nc12,-9.416,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0cc10>,28.052805,22.896423
44582642,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)ccc21,-6.472,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ccf0>,-36.852665,-1.2004539
130196703,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1[C@H]1CC[C@H](C)CC1,-10.349,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0cdd0>,46.316788,22.887793
162676824,FC(F)(F)c1cnc(N[C@@H]2CNC[C@H](c3nnc4ccccn34)C2)nc1-c1c[nH]c2ccccc12,-9.083,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0ceb0>,4.781277,62.83427
CHEMBL361196,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CC1,-7.747,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0cf90>,-14.255497,-19.452986
5331090,Cc1cccc2c1/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,-8.513,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d070>,-49.517212,16.202736
137638509,CCOC(=O)c1cccc(-c2cnc3ccc(N[C@H](CC)CO)nn23)c1,-7.307,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d150>,3.5269709,-24.930378
45139612,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1cnc(NC3CCCC3)nc1-2,-9.82,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d230>,22.931107,51.814743
45483755,Cc1csc(-c2ccc(CNc3nc(N[C@H]4CC[C@H](N)CC4)nc4c3ncn4C(C)C)s2)n1,-9.47,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d310>,55.506405,-31.57894
CHEMBL484555,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C3CCCC3)n2)cc1,-9.399,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba4b0d3f0>,9.393497,28.462526
