ID,smiles,docking_score,flag,split_1,split_2,split_3,split_4,split_5
145993767,C[C@H]1Cc2cnc(Nc3ccccc3)nc2-c2c1c(C(N)=O)nn2C,-10.128,1,train,train,train,train,val
ZINC12799683,COC(=O)C1=C(C)N(CC(C)C)C(=O)N[C@H]1c1c(F)cccc1Cl,-6.183,0,train,train,val,train,train
ZINC29493680,[H]/N=C(\NCCCC)SCC(=O)N(CC)Cc1ccc2c(c1)OCO2,-7.214,0,train,train,train,val,train
CHEMZINC03814435,CN[C@H]1C[C@H]2O[C@@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,-8.362,1,train,train,val,train,train
CHEMBL475294,Cc1cc2c(N/N=C\c3cccs3)ncnc2s1,-8.44,1,train,train,val,train,train
66548849,CN(C)S(=O)(=O)c1ccc(Nc2cc3[nH]c(-c4cn[nH]c4)cc3cn2)cc1,-9.173,1,train,train,train,val,train
ZINC45334178,O=C(N/N=C/c1cc(Br)cc(Br)c1O)c1ccc(-n2cnnn2)cc1,-5.457,0,train,val,train,train,train
5329613,CC(=O)Nc1cccc2c1C(=O)c1c(-c3ccc(N(C)C)cc3)n[nH]c1-2,-4.302,1,train,val,train,train,train
ZINC63375936,CCCCN1C(=S)NC(=O)[C@@H]([C@@H]2NCCC3=c4cc(OC)ccc4=N[C@H]32)[C@@H]1O,-7.78,0,train,train,train,train,train
ZINC42706801,C[C@@H](C[N@](C)CC(=O)N1c2ccccc2C[C@@H]1C)C(=O)O,-7.102,0,train,train,train,train,val
ZINC00090523,N#CC1=C(N)Oc2[nH]nc(-c3ccncc3)c2[C@@H]1c1ccc(O)c(O)c1,-5.289,0,train,train,train,train,train
52948210,Cn1cc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,-10.741,1,train,train,train,train,val
ZINC18284347,C[N@@]1CCc2c(sc3c2C(=O)N[C@@H](c2ccc(-c4ccc(Cl)cc4)o2)N3)C1,-7.023,0,train,train,val,train,train
73386878,COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(NC3CCCCC3)c2n1,-8.254,1,train,val,train,train,train
ZINC05482444,CC1=C(C(=O)Nc2ccc(Cl)cc2)[C@H](c2cccnc2)C(C#N)=C(N)O1,-6.03,0,train,train,train,train,train
CHEMBL4228240,CC[N@@](CCO)Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1,-7.861,1,train,val,train,train,train
ZINC00638326,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(N(C)C)cc3)c(=O)n2[C@@H]1c1ccc(OC(C)=O)c(OC)c1,-6.064,0,train,train,train,train,train
136002661,Nc1ccc2c(c1)C(c1ccccc1Cl)=Nc1cn[nH]c1N2,-7.279,1,train,train,train,val,train
ZINC39272226,Cc1csc(NC(=O)[C@@H](C(C)C)N2NNc3ccccc3C2=O)n1,-6.957,0,train,val,train,train,train
ZINC03665904,CCCNC(=O)[C@]1(O)c2ccccc2NC(=O)N1c1ccc(CC)cc1,-8.35,0,train,train,train,val,train
137654297,Nc1ccc(-c2ccc(-c3cc(NCc4cccnc4)n4ncc(Br)c4n3)cc2)cc1,-9.214,1,train,val,train,train,train
137358500,C=CC(=O)Nc1ccc(S(=O)(=O)N2CCC[C@H](Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1,-6.425,1,train,train,val,train,train
ZINC39355819,COc1ccc2c(c1)=C[C@H](/C=N\NC(=O)C1=C(C)C(C#N)=C(O)N(c3ccc(Cl)cc3)N1)C(=O)N=2,-6.496,0,train,train,train,train,val
52943453,NC(=O)c1cn(CC(F)(F)F)c2c1CCc1cnc(NC3CCCC3)nc1-2,-10.086,1,train,train,train,val,train
ZINC47191004,C[C@@]1(c2cccc(NC(=O)/C=C/c3cccs3)c2)NC(=O)NC1=O,-7.318,0,train,train,train,train,train
71817797,N[C@H]1CC[C@H](Nc2nc(NCc3ccc(-c4ccsc4)nc3)c3ncn(C4CCCC4)c3n2)CC1,-10.139,1,train,train,train,train,train
ZINC63676468,O=C(NCCC1=c2ccccc2=NC1)C(=O)NC[C@@H]1OCCN1S(=O)(=O)c1ccc(Cl)cc1,-7.198,0,train,train,val,train,train
52948074,CN1CCN(c2ccc(CNc3ncc4c(n3)-c3c(c(C(N)=O)cn3C)CC4)cc2)CC1,-9.221,1,train,train,val,train,train
ZINC39937670,O=C1CCc2cc(C(=O)CS[C@H]3NN=C(C4=c5ccccc5=NC4)N3C3CC3)ccc2N1,-7.37,0,train,val,train,train,train
ZINC39361912,Cc1ccc(C)c(N2C(Cc3cc(=O)[nH]c(=O)[nH]3)=NN[C@@H]2SCc2cccc(F)c2)c1,-7.132,0,train,train,train,train,train
CHEMBL402370,O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,-9.304,1,train,val,train,train,train
142751781,O=C(c1ccc2c(-c3nc(N[C@H]4CCCNC4)ncc3C(F)(F)F)c[nH]c2c1)N1CCCC1,-10.071,1,train,train,train,val,train
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,-9.302,1,train,train,val,train,train
CHEMBL563366,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(N(C)C)c3)nc1-2,-9.787,1,train,train,train,train,train
135402963,CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(Br)cc3)[nH]c(=O)c12,-9.49,1,train,train,train,val,train
44541014,Cn1cc(/C=C2/Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,-7.872,1,train,train,train,train,train
CHEMBL340012,CC(=O)Nc1ncc(SCC(=O)OC(C)(C)C)s1,-8.503,1,train,train,train,val,train
71817799,CC(C)(O)CNc1nc(NCc2ccc(-c3ccco3)nc2)c2ncn(C3CCCC3)c2n1,-9.409,1,train,val,train,train,train
136087140,O=c1[nH]c2sc(Cl)cc2c(N[C@H]2CCCNC2)c1-c1nc2ccccc2[nH]1,-9.465,1,train,train,train,train,train
ZINC38688872,c1ccc([C@@H]2NN[C@@H](SCc3nc4ccccc4[nH]3)N2c2ccccc2)cc1,-7.423,0,train,train,train,train,val
24963033,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,-9.685,1,train,val,train,train,train
20609900,CC(C)n1cnc2c(NCc3ccc(-c4ccccc4)cc3)nc(NCCN)nc21,-9.663,1,train,val,train,train,train
CHEMBL3960677,COc1cc(C[S@@](C)(=N)=O)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,-9.826,1,train,train,val,train,train
ZINC66736964,N#Cc1cc(S(=O)(=O)NC(=O)[C@H]2CC(=O)Nc3ccccc32)ccc1F,-6.459,0,train,train,train,train,val
ZINC59640078,CCOc1cc(/C=N/Nc2ncc(F)c(NC)n2)cc(I)c1O,-7.277,0,train,val,train,train,train
ZINC21313756,COc1cc(/C=C2\SC(NC3CCCC3)=NC2=O)ccc1O,-9.56,0,train,train,train,train,train
ZINC63785796,C[C@@H](NC(=O)c1ccc2c(c1)S[C@@H](n1cccc1)N2)C(=O)NCCC1=c2ccccc2=NC1,-7.595,0,train,train,train,train,train
ZINC35990789,C=CCN1C(=O)N[C@H](c2ccc(C(C)(C)C)cc2)C(C(=O)OCC)=C1CN1CCCNCC1,-7.06,0,train,train,train,train,train
ZINC59166223,CCOC(=O)N/N=C/c1cc(C(C)C)c(OC)cc1C,-5.686,0,train,val,train,train,train
ZINC19520595,CC[C@@H]1C[C@@H](C(F)(F)F)n2nc(C(=O)NC[C@H](c3ccc(C)cc3)N(C)C)cc2N1,-7.103,0,train,train,train,val,train
ZINC33063223,CSc1cccc(NC(=O)c2ccc([C@@H]3Nc4ccccc4S(=O)(=O)N3)cc2)c1,-8.596,0,train,train,train,val,train
ZINC64539212,COc1ccc2c(c1)=N[C@H](C(=O)N1CCCN([C@H]3C=CC(=O)N(c4ccc(C)c(C)c4)N3)CC1)C=2,-7.78,0,train,train,train,train,train
ZINC12603302,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@H]2C[C@H](NCCO)C[C@H](CC(C)C)N12,-8.068,0,train,train,train,train,train
ZINC63280093,COc1ccc([C@H]2N=C(/C=C(\O)N[C@H](C)CC3=c4ccccc4=NC3)CS2)cc1OC,-6.799,0,train,val,train,train,train
ZINC00196802,N#CC1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccccc1C(F)(F)F,-4.873,0,train,train,train,train,train
ZINC39530741,CSc1ccc(N2CCN[C@@H](S(=O)(=O)Oc3ccccc3)C2)c(S(=O)(=O)C(C)C)c1,-6.323,0,train,train,train,train,train
145444295,CCc1cnc(N[C@H]2CCCNC2)nc1-c1n[nH]c2cc(C#N)ccc12,-9.335,1,train,val,train,train,train
ZINC63376089,COc1ccc2c(c1C)OC(=O)[C@H](CC(=O)N[C@@H](CC1=c3ccccc3=NC1)C(=O)NCCC(=O)O)[C@H]2C,-7.807,0,train,train,val,train,train
6539616,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(Br)cc3)[nH]n2)cc1,-8.458,1,train,val,train,train,train
ZINC01420982,COC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)[C@@H]1c1ccc(Br)cc1,-6.536,0,train,train,train,train,val
ZINC06651696,Fc1cccc(F)c1/C=N/Nc1ncc(Cl)cc1Cl,-7.303,0,train,train,train,val,train
ZINC04525415,Cc1sc2c(c1C)C(=O)N[C@H](c1cccc(OC(=O)c3cccs3)c1)N2,-7.221,0,train,train,train,train,val
ZINC15320080,COc1ccc(-c2n[nH]c3c2[C@H](c2ccc(OC4CCCC4)c(OC)c2)C(C#N)=C(N)O3)cc1OC,-4.685,0,train,train,train,train,val
56649281,CN1CCN(c2ccc(Nc3ncc4cc(C#N)c(=O)n(C5CCCC5)c4n3)cc2)CC1,-10.134,1,train,train,val,train,train
